,cnt,MLE
by,1366,-7.775365230368002
mutual,20,-13.799845335195302
trick,6,-15.384807835916458
authority,15,-14.192162757974062
his,2106,-7.151188159156756
attend,26,-13.437275255810594
perhaps,152,-10.93477491528141
half,174,-10.740951646141733
restrictions,3,-16.19216275797406
designs,8,-15.02223775653175
Sir,213,-10.450695771572915
Walter,118,-11.297344994666119
afterwards,87,-11.732731139336765
second,51,-12.49172303983297
boy,27,-13.384807835916458
violently,3,-16.19216275797406
same,209,-10.477917240307939
lady,110,-11.397746891623957
fingers,4,-15.8702346630867
fondly,7,-15.192162757974062
observed,46,-12.637573906296424
How,151,-10.944235244530477
playful,3,-16.19216275797406
William,22,-13.66860080191705
is,1871,-7.321798038390657
His,134,-11.11534716092323
nature,84,-11.78277182183636
humanity,5,-15.607200257252906
quite,384,-9.603448122391798
enough,253,-10.203478071201896
account,110,-11.397746891623957
horses,40,-12.834610753355978
believe,186,-10.645268298086425
glad,102,-11.505662230790843
we,427,-9.450695771572915
danced,8,-15.02223775653175
no,1135,-8.04241563846938
longer,115,-11.33418176284649
given,130,-11.158739756436612
worlds,2,-16.607200257252906
ever,352,-9.728638384702881
give,288,-10.017237075473384
another,195,-10.577452913858854
bowed,8,-15.02223775653175
Certainly,23,-13.607200257252906
if,638,-8.872490637027067
observe,32,-13.147768638615608
people,151,-10.944235244530477
always,363,-9.684368117775366
live,55,-12.384807835916458
when,640,-8.86798221135532
annuity,4,-15.8702346630867
paid,28,-13.33418176284649
them,933,-8.3248840182644
stout,5,-15.607200257252906
healthy,5,-15.607200257252906
hardly,130,-11.158739756436612
forty,12,-14.49172303983297
fool,8,-15.02223775653175
shall,308,-9.920699730069687
indeed,253,-10.203478071201896
thought,352,-9.728638384702881
subject,150,-10.953758018648983
than,810,-8.528604653756789
men,67,-12.104699916723723
different,76,-11.92537621727916
sort,137,-11.083638301195892
sentiment,18,-13.944235244530477
distinct,9,-14.8702346630867
independent,15,-14.192162757974062
Yes,133,-11.12607356751629
Elliot,233,-10.321798038390657
gentleman,77,-11.906760539111813
large,66,-12.12607356751629
fortune,89,-11.700309661644388
came,203,-10.519737416002567
night,80,-11.852312755089438
from,1087,-8.104699916723723
house,264,-10.1423142085235
himself,290,-10.007287415065777
without,389,-9.584832444224451
thinking,89,-11.700309661644388
many,251,-10.214882834474146
advantages,16,-14.104699916723723
accommodations,6,-15.384807835916458
attached,36,-12.982709392345113
its,271,-10.104699916723723
size,19,-13.8702346630867
judge,29,-13.285272162365544
privations,3,-16.19216275797406
inevitably,7,-15.192162757974062
belonging,13,-14.384807835916458
small,59,-12.285272162365544
call,69,-12.062879741029095
West,4,-15.8702346630867
Indies,7,-15.192162757974062
what,791,-8.562806137894452
abilities,12,-14.49172303983297
however,266,-10.131466826286507
well,527,-9.147768638615608
affections,22,-13.66860080191705
now,517,-9.175354470287507
doubtful,10,-14.732731139336765
whether,109,-11.410803044449402
cunning,4,-15.8702346630867
hers,30,-13.237966447587187
finally,10,-14.732731139336765
carry,15,-14.192162757974062
preventing,4,-15.8702346630867
being,578,-9.014743219984826
wife,131,-11.147768638615608
into,292,-9.997405903551813
Elinor,539,-9.11534716092323
felt,241,-10.273299520699467
equal,79,-11.8702346630867
amazement,11,-14.607200257252906
wrote,31,-13.192162757974062
manner,140,-11.052611405575268
perfectly,117,-11.309519708612221
hurry,33,-13.104699916723723
case,71,-12.02223775653175
must,839,-8.477917240307939
aware,44,-12.700309661644388
my,1116,-8.066749287490747
wish,207,-10.49172303983297
remain,23,-13.607200257252906
Lady,229,-10.346672707029686
Russell,119,-11.285272162365544
besides,31,-13.192162757974062
really,228,-10.352958969877118
so,1480,-7.659806832685214
busy,21,-13.732731139336765
conveniently,4,-15.8702346630867
left,182,-10.67646291969002
Kellynch,63,-12.192162757974062
sooner,27,-13.384807835916458
news,45,-12.66860080191705
hear,166,-10.80845846550001
back,141,-11.04241563846938
rather,221,-10.397746891623957
surprize,31,-13.192162757974062
raises,2,-16.607200257252906
none,49,-12.548306568199337
concerned,31,-13.192162757974062
Nothing,37,-12.944235244530477
hastily,18,-13.944235244530477
done,231,-10.33418176284649
nothing,440,-9.40752791241654
Oh,241,-10.273299520699467
M,5,-15.607200257252906
D,3,-16.19216275797406
ought,146,-10.992490413137697
setting,21,-13.732731139336765
off,185,-10.653003946866031
Uppercross,60,-12.261425420411175
mean,99,-11.548306568199337
while,212,-10.457453137748224
together,159,-10.8702346630867
out,359,-9.700309661644388
doors,16,-14.104699916723723
long,265,-10.136880322472873
With,49,-12.548306568199337
surprise,55,-12.384807835916458
therefore,152,-10.93477491528141
find,112,-11.371983795558874
prevented,19,-13.8702346630867
rain,34,-13.062879741029095
going,192,-10.599705720705982
dinner,73,-11.982709392345113
begged,15,-14.192162757974062
shewn,17,-14.02223775653175
which,1242,-7.912552176921577
father,281,-10.052611405575268
lived,54,-12.410803044449402
home,239,-10.285272162365544
recollecting,8,-15.02223775653175
old,134,-11.11534716092323
woman,205,-10.505662230790843
nursed,4,-15.8702346630867
him,1488,-7.652034719391962
still,231,-10.33418176284649
living,61,-12.237966447587187
walked,87,-11.732731139336765
quest,4,-15.8702346630867
cottage,52,-12.464242303410863
end,99,-11.548306568199337
other,437,-9.417375698372888
though,376,-9.633742044705398
points,18,-13.944235244530477
pursuit,8,-15.02223775653175
observation,29,-13.285272162365544
positive,14,-14.285272162365544
merit,26,-13.437275255810594
shewed,25,-13.49172303983297
altogether,36,-12.982709392345113
towards,117,-11.309519708612221
Highbury,107,-11.437275255810594
general,129,-11.169794944945608
