,cnt,MLE
autumn,15,-14.192162757974062
season,12,-14.49172303983297
peculiar,16,-14.104699916723723
tenderness,29,-13.285272162365544
poet,3,-16.19216275797406
worthy,22,-13.66860080191705
description,22,-13.66860080191705
lines,21,-13.732731139336765
money,39,-12.8702346630867
drive,16,-14.104699916723723
terms,33,-13.104699916723723
kept,54,-12.410803044449402
lanes,2,-16.607200257252906
downs,4,-15.8702346630867
mounted,2,-16.607200257252906
wore,6,-15.384807835916458
James,19,-13.8702346630867
XVI,3,-16.19216275797406
classed,2,-16.607200257252906
attainable,3,-16.19216275797406
Dr,8,-15.02223775653175
Davies,2,-16.607200257252906
town,99,-11.548306568199337
d,11,-14.607200257252906
join,37,-12.944235244530477
post,22,-13.66860080191705
chaise,13,-14.384807835916458
behaved,18,-13.944235244530477
twelve,13,-14.384807835916458
True,8,-15.02223775653175
true,92,-11.653003946866031
intentions,15,-14.192162757974062
Do,85,-11.765898003271964
conscious,23,-13.607200257252906
provoked,6,-15.384807835916458
disappointment,37,-12.944235244530477
imprudence,14,-14.285272162365544
borne,20,-13.799845335195302
spreading,4,-15.8702346630867
illness,23,-13.607200257252906
serious,53,-12.437275255810594
Musgroves,36,-12.982709392345113
excepting,17,-14.02223775653175
usefulness,4,-15.8702346630867
From,28,-13.33418176284649
indulgent,4,-15.8702346630867
undertakes,3,-16.19216275797406
papa,31,-13.192162757974062
matrimony,9,-14.8702346630867
pay,33,-13.104699916723723
respects,10,-14.732731139336765
everything,41,-12.799845335195302
proper,59,-12.285272162365544
perceive,20,-13.799845335195302
considerably,5,-15.607200257252906
died,17,-14.02223775653175
summer,32,-13.147768638615608
confirmed,7,-15.192162757974062
depressed,6,-15.384807835916458
suspect,33,-13.104699916723723
strong,81,-11.834610753355978
temper,55,-12.384807835916458
excellent,50,-12.519737416002567
forbearance,10,-14.732731139336765
patience,17,-14.02223775653175
wants,11,-14.607200257252906
openness,8,-15.02223775653175
Your,63,-12.192162757974062
amiable,50,-12.519737416002567
decision,13,-14.384807835916458
venture,23,-13.607200257252906
suggest,9,-14.8702346630867
gown,8,-15.02223775653175
cap,4,-15.8702346630867
liable,10,-14.732731139336765
knock,5,-15.607200257252906
suspended,4,-15.8702346630867
anything,65,-12.147768638615608
waited,17,-14.02223775653175
pass,42,-12.765898003271964
IS,2,-16.607200257252906
Doctor,8,-15.02223775653175
colour,16,-14.104699916723723
Call,2,-16.607200257252906
Twice,2,-16.607200257252906
these,106,-11.450695771572915
annuities,3,-16.19216275797406
trouble,32,-13.147768638615608
Dalrymple,20,-13.799845335195302
Carteret,10,-14.732731139336765
innoxious,2,-16.607200257252906
cousins,34,-13.062879741029095
cheerful,42,-12.765898003271964
possess,6,-15.384807835916458
sanguine,13,-14.384807835916458
itself,35,-13.02223775653175
lock,11,-14.607200257252906
carried,21,-13.732731139336765
pocket,7,-15.192162757974062
searched,2,-16.607200257252906
Madam,3,-16.19216275797406
ingratiating,2,-16.607200257252906
torn,4,-15.8702346630867
scarcely,49,-12.548306568199337
sensible,50,-12.519737416002567
rapturous,5,-15.607200257252906
gay,18,-13.944235244530477
questions,13,-14.384807835916458
distinguished,16,-14.104699916723723
mark,9,-14.8702346630867
lucky,19,-13.8702346630867
remark,12,-14.49172303983297
private,23,-13.607200257252906
resolution,49,-12.548306568199337
conviction,33,-13.104699916723723
Till,9,-14.8702346630867
dark,14,-14.285272162365544
plans,9,-14.8702346630867
suffered,44,-12.700309661644388
agonies,2,-16.607200257252906
sensibility,14,-14.285272162365544
existence,16,-14.104699916723723
grateful,26,-13.437275255810594
prepared,23,-13.607200257252906
adopt,10,-14.732731139336765
expedient,5,-15.607200257252906
asking,16,-14.104699916723723
meant,60,-12.261425420411175
tenderest,3,-16.19216275797406
Kingston,7,-15.192162757974062
belong,16,-14.104699916723723
province,2,-16.607200257252906
pray,22,-13.66860080191705
matches,6,-15.384807835916458
silly,15,-14.192162757974062
break,9,-14.8702346630867
joke,11,-14.607200257252906
seems,42,-12.765898003271964
imply,3,-16.19216275797406
beg,25,-13.49172303983297
deceive,8,-15.02223775653175
encouraged,16,-14.104699916723723
neglected,5,-15.607200257252906
agitated,14,-14.285272162365544
reflections,13,-14.384807835916458
fact,41,-12.799845335195302
unconsciously,4,-15.8702346630867
attributing,4,-15.8702346630867
expressions,13,-14.384807835916458
soothing,5,-15.607200257252906
gradually,16,-14.104699916723723
immediate,33,-13.104699916723723
alertness,4,-15.8702346630867
recollections,8,-15.02223775653175
renewal,5,-15.607200257252906
amends,7,-15.192162757974062
hurried,20,-13.799845335195302
speedily,8,-15.02223775653175
madness,5,-15.607200257252906
Or,7,-15.192162757974062
shut,22,-13.66860080191705
Dare,2,-16.607200257252906
forgets,3,-16.19216275797406
earlier,15,-14.192162757974062
death,28,-13.33418176284649
soul,29,-13.285272162365544
16,3,-16.19216275797406
hysterical,5,-15.607200257252906
Let,29,-13.285272162365544
Is,46,-12.637573906296424
exertions,12,-14.49172303983297
retained,3,-16.19216275797406
wholly,19,-13.8702346630867
selfishness,15,-14.192162757974062
ruined,6,-15.384807835916458
dead,11,-14.607200257252906
eight,22,-13.66860080191705
offered,20,-13.799845335195302
forgive,15,-14.192162757974062
Eliza,7,-15.192162757974062
Something,13,-14.384807835916458
happened,47,-12.607200257252906
Brunswick,8,-15.02223775653175
Square,10,-14.732731139336765
lay,20,-13.799845335195302
down,159,-10.8702346630867
rule,11,-14.607200257252906
refuse,16,-14.104699916723723
understand,105,-11.464242303410863
comprehend,28,-13.33418176284649
motive,24,-13.548306568199337
acted,10,-14.732731139336765
advantage,56,-12.35927274380932
fettered,3,-16.19216275797406
pounds,45,-12.66860080191705
thoughtful,9,-14.8702346630867
letters,52,-12.464242303410863
perusal,2,-16.607200257252906
interval,12,-14.49172303983297
faults,15,-14.192162757974062
forgotten,25,-13.49172303983297
affected,22,-13.66860080191705
exceedingly,39,-12.8702346630867
grief,14,-14.285272162365544
pleasures,11,-14.607200257252906
Henrietta,55,-12.384807835916458
fully,31,-13.192162757974062
mankind,2,-16.607200257252906
worse,53,-12.437275255810594
deserved,20,-13.799845335195302
party,174,-10.740951646141733
separated,7,-15.192162757974062
apt,7,-15.192162757974062
flies,2,-16.607200257252906
failure,3,-16.19216275797406
begins,4,-15.8702346630867
interrupted,17,-14.02223775653175
bred,12,-14.49172303983297
offend,7,-15.192162757974062
foolishly,3,-16.19216275797406
shy,5,-15.607200257252906
negligent,4,-15.8702346630867
equally,53,-12.437275255810594
uneasiness,16,-14.104699916723723
sisters,60,-12.261425420411175
experienced,4,-15.8702346630867
careless,8,-15.02223775653175
meals,3,-16.19216275797406
reverie,6,-15.384807835916458
roused,13,-14.384807835916458
leaving,31,-13.192162757974062
barouche,7,-15.192162757974062
landau,5,-15.607200257252906
course,106,-11.450695771572915
holds,9,-14.8702346630867
explore,3,-16.19216275797406
beauties,6,-15.384807835916458
Hodges,5,-15.607200257252906
Wright,3,-16.19216275797406
cheap,4,-15.8702346630867
promised,37,-12.944235244530477
receipt,4,-15.8702346630867
George,5,-15.607200257252906
Otway,5,-15.607200257252906
partner,10,-14.732731139336765
Cox,6,-15.384807835916458
play,30,-13.237966447587187
buried,3,-16.19216275797406
Croft,46,-12.637573906296424
suit,20,-13.799845335195302
apple,7,-15.192162757974062
message,17,-14.02223775653175
harm,20,-13.799845335195302
human,17,-14.02223775653175
guess,33,-13.104699916723723
distress,46,-12.637573906296424
Very,59,-12.285272162365544
Can,20,-13.799845335195302
becoming,13,-14.384807835916458
opposition,19,-13.8702346630867
wet,6,-15.384807835916458
ride,8,-15.02223775653175
recollected,12,-14.49172303983297
engage,21,-13.732731139336765
friendliness,4,-15.8702346630867
flattery,11,-14.607200257252906
bewitching,7,-15.192162757974062
reception,10,-14.732731139336765
resolve,11,-14.607200257252906
charms,7,-15.192162757974062
perfections,2,-16.607200257252906
credit,30,-13.237966447587187
benches,2,-16.607200257252906
assistance,27,-13.384807835916458
Wallis,30,-13.237966447587187
seat,26,-13.437275255810594
rising,13,-14.384807835916458
studied,4,-15.8702346630867
politeness,24,-13.548306568199337
material,20,-13.799845335195302
sentiments,21,-13.732731139336765
folded,3,-16.19216275797406
lasting,10,-14.732731139336765
warmth,35,-13.02223775653175
writer,5,-15.607200257252906
learn,16,-14.104699916723723
wind,12,-14.49172303983297
blows,2,-16.607200257252906
crowd,8,-15.02223775653175
Most,8,-15.02223775653175
nice,23,-13.607200257252906
observant,6,-15.384807835916458
Elizabeth,83,-11.799845335195302
Clay,56,-12.35927274380932
encouraging,19,-13.8702346630867
glance,26,-13.437275255810594
frequent,14,-14.285272162365544
visits,19,-13.8702346630867
Dixon,39,-12.8702346630867
musical,18,-13.944235244530477
Which,4,-15.8702346630867
valuable,16,-14.104699916723723
blessing,19,-13.8702346630867
inferior,22,-13.66860080191705
baronetcy,2,-16.607200257252906
united,18,-13.944235244530477
gifts,2,-16.607200257252906
constant,30,-13.237966447587187
warmest,11,-14.607200257252906
devotion,4,-15.8702346630867
hopes,41,-12.799845335195302
hanging,10,-14.732731139336765
impossible,73,-11.982709392345113
environs,3,-16.19216275797406
strolling,2,-16.607200257252906
destination,5,-15.607200257252906
mile,11,-14.607200257252906
gradual,3,-16.19216275797406
ascent,2,-16.607200257252906
fresh,24,-13.548306568199337
farmer,9,-14.8702346630867
sweets,2,-16.607200257252906
despondence,2,-16.607200257252906
parted,22,-13.66860080191705
commanded,7,-15.192162757974062
foot,15,-14.192162757974062
exactly,79,-11.8702346630867
Upon,38,-12.906760539111813
April,3,-16.19216275797406
June,9,-14.8702346630867
July,4,-15.8702346630867
accomplish,4,-15.8702346630867
easy,55,-12.384807835916458
ornaments,2,-16.607200257252906
exception,5,-15.607200257252906
extended,6,-15.384807835916458
indignation,20,-13.799845335195302
proposal,16,-14.104699916723723
scruples,13,-14.384807835916458
pressing,11,-14.607200257252906
Long,4,-15.8702346630867
reappeared,4,-15.8702346630867
attending,27,-13.384807835916458
neat,8,-15.02223775653175
moving,13,-14.384807835916458
niece,18,-13.944235244530477
sweet,36,-12.982709392345113
examined,5,-15.607200257252906
evils,14,-14.285272162365544
trifling,12,-14.49172303983297
Have,27,-13.384807835916458
opportunity,46,-12.637573906296424
became,43,-12.732731139336765
thoroughly,26,-13.437275255810594
supplanted,5,-15.607200257252906
forming,16,-14.104699916723723
inclination,34,-13.062879741029095
frightened,16,-14.104699916723723
judgment,49,-12.548306568199337
chuse,24,-13.548306568199337
Indeed,39,-12.8702346630867
Brandon,110,-11.397746891623957
drawback,6,-15.384807835916458
fortunate,26,-13.437275255810594
circumstance,55,-12.384807835916458
girl,76,-11.92537621727916
spite,62,-12.214882834474146
deviation,3,-16.19216275797406
strict,8,-15.02223775653175
propriety,20,-13.799845335195302
simplicity,13,-14.384807835916458
direct,20,-13.799845335195302
yield,4,-15.8702346630867
joint,7,-15.192162757974062
entreaties,12,-14.49172303983297
Such,60,-12.261425420411175
laughed,30,-13.237966447587187
ridicule,5,-15.607200257252906
provoke,6,-15.384807835916458
By,27,-13.384807835916458
remaining,17,-14.02223775653175
neighbourhood,33,-13.104699916723723
Gilberts,2,-16.607200257252906
places,12,-14.49172303983297
offices,9,-14.8702346630867
produce,17,-14.02223775653175
sale,3,-16.19216275797406
flesh,2,-16.607200257252906
stopt,12,-14.49172303983297
interesting,43,-12.732731139336765
naivete,4,-15.8702346630867
agitation,39,-12.8702346630867
concern,44,-12.700309661644388
ways,20,-13.799845335195302
inclined,15,-14.192162757974062
accommodation,15,-14.192162757974062
used,72,-12.002338199094044
history,30,-13.237966447587187
rise,12,-14.49172303983297
ancient,5,-15.607200257252906
mentioned,43,-12.732731139336765
office,23,-13.607200257252906
high,41,-12.799845335195302
representing,5,-15.607200257252906
successive,2,-16.607200257252906
dignity,16,-14.104699916723723
baronet,8,-15.02223775653175
II,6,-15.384807835916458
concluding,8,-15.02223775653175
arms,10,-14.732731139336765
motto,3,-16.19216275797406
county,7,-15.192162757974062
Somerset,2,-16.607200257252906
handwriting,4,-15.8702346630867
lie,4,-15.8702346630867
actions,8,-15.02223775653175
meanwhile,7,-15.192162757974062
unsuspicious,3,-16.19216275797406
exciting,8,-15.02223775653175
talker,7,-15.192162757974062
spent,47,-12.607200257252906
inquiries,17,-14.02223775653175
careful,13,-14.384807835916458
directions,5,-15.607200257252906
spread,12,-14.49172303983297
proceeding,7,-15.192162757974062
communication,22,-13.66860080191705
principally,12,-14.49172303983297
addressed,6,-15.384807835916458
Nay,14,-14.285272162365544
possessed,8,-15.02223775653175
charm,21,-13.732731139336765
dared,16,-14.104699916723723
breathe,5,-15.607200257252906
Palmer,61,-12.237966447587187
taught,12,-14.49172303983297
fallen,13,-14.384807835916458
story,27,-13.384807835916458
apprehension,9,-14.8702346630867
sequel,2,-16.607200257252906
removing,10,-14.732731139336765
Norland,36,-12.982709392345113
painted,2,-16.607200257252906
pair,12,-14.49172303983297
screens,2,-16.607200257252906
handed,5,-15.607200257252906
admiration,46,-12.637573906296424
miss,8,-15.02223775653175
SHE,18,-13.944235244530477
navy,9,-14.8702346630867
claim,22,-13.66860080191705
set,101,-11.519737416002567
comforts,14,-14.285272162365544
privileges,3,-16.19216275797406
pains,13,-14.384807835916458
acquainted,70,-12.04241563846938
caught,40,-12.834610753355978
Donavan,5,-15.607200257252906
apprehended,2,-16.607200257252906
constitution,8,-15.02223775653175
Having,5,-15.607200257252906
alluded,6,-15.384807835916458
accident,11,-14.607200257252906
slight,28,-13.33418176284649
comprehending,5,-15.607200257252906
sweetness,11,-14.607200257252906
humble,13,-14.384807835916458
readiness,8,-15.02223775653175
opposing,5,-15.607200257252906
intended,31,-13.192162757974062
holding,2,-16.607200257252906
Crown,19,-13.8702346630867
Ford,12,-14.49172303983297
loss,40,-12.834610753355978
contact,2,-16.607200257252906
sensibly,3,-16.19216275797406
After,49,-12.548306568199337
unwillingness,6,-15.384807835916458
bottom,5,-15.607200257252906
deciding,3,-16.19216275797406
sympathy,11,-14.607200257252906
spared,17,-14.02223775653175
poured,2,-16.607200257252906
quarters,5,-15.607200257252906
declined,16,-14.104699916723723
6,2,-16.607200257252906
amused,21,-13.732731139336765
connected,18,-13.944235244530477
universal,4,-15.8702346630867
contented,9,-14.8702346630867
worked,6,-15.384807835916458
reproach,22,-13.66860080191705
drop,5,-15.607200257252906
temptation,10,-14.732731139336765
desirable,31,-13.192162757974062
express,25,-13.49172303983297
naturally,28,-13.33418176284649
consent,25,-13.49172303983297
Another,14,-14.285272162365544
speaks,12,-14.49172303983297
incomprehensible,3,-16.19216275797406
dependence,20,-13.799845335195302
unable,24,-13.548306568199337
Morton,16,-14.104699916723723
chusing,4,-15.8702346630867
spoken,54,-12.410803044449402
flattering,8,-15.02223775653175
language,20,-13.799845335195302
lesser,4,-15.8702346630867
feared,25,-13.49172303983297
purpose,33,-13.104699916723723
enrich,3,-16.19216275797406
smiled,29,-13.285272162365544
grew,18,-13.944235244530477
complain,9,-14.8702346630867
formed,33,-13.104699916723723
Barton,65,-12.147768638615608
proprietor,3,-16.19216275797406
orders,14,-14.285272162365544
Me,8,-15.02223775653175
WILL,5,-15.607200257252906
calm,16,-14.104699916723723
mistress,25,-13.49172303983297
Remember,8,-15.02223775653175
Whoever,3,-16.19216275797406
occupied,27,-13.384807835916458
settle,24,-13.548306568199337
forgot,14,-14.285272162365544
thanks,14,-14.285272162365544
necessarily,9,-14.8702346630867
appeared,92,-11.653003946866031
affectation,5,-15.607200257252906
candour,7,-15.192162757974062
greatness,2,-16.607200257252906
shew,32,-13.147768638615608
higher,15,-14.192162757974062
superior,63,-12.192162757974062
performance,17,-14.02223775653175
recommendation,14,-14.285272162365544
mine,38,-12.906760539111813
hurt,17,-14.02223775653175
plays,3,-16.19216275797406
delightfully,9,-14.8702346630867
begun,25,-13.49172303983297
several,26,-13.437275255810594
list,5,-15.607200257252906
fourteen,5,-15.607200257252906
remember,60,-12.261425420411175
preserved,7,-15.192162757974062
declares,6,-15.384807835916458
sit,61,-12.237966447587187
fashion,11,-14.607200257252906
started,14,-14.285272162365544
length,16,-14.104699916723723
necessity,27,-13.384807835916458
profession,22,-13.66860080191705
dashing,4,-15.8702346630867
expensive,6,-15.384807835916458
red,9,-14.8702346630867
coat,2,-16.607200257252906
idleness,5,-15.607200257252906
pronounced,7,-15.192162757974062
advantageous,3,-16.19216275797406
honourable,14,-14.285272162365544
eighteen,11,-14.607200257252906
bent,10,-14.732731139336765
Beyond,4,-15.8702346630867
valley,8,-15.02223775653175
rich,36,-12.982709392345113
wild,11,-14.607200257252906
stretch,3,-16.19216275797406
road,27,-13.384807835916458
travelled,8,-15.02223775653175
reaching,7,-15.192162757974062
around,30,-13.237966447587187
examine,6,-15.384807835916458
prospect,29,-13.285272162365544
reach,19,-13.8702346630867
walks,10,-14.732731139336765
doubtingly,4,-15.8702346630867
fear,32,-13.147768638615608
lessons,2,-16.607200257252906
elevated,6,-15.384807835916458
describe,10,-14.732731139336765
detained,7,-15.192162757974062
slowly,9,-14.8702346630867
within,89,-11.700309661644388
correctness,2,-16.607200257252906
relief,27,-13.384807835916458
fears,19,-13.8702346630867
procure,9,-14.8702346630867
delayed,3,-16.19216275797406
eagerly,26,-13.437275255810594
measure,14,-14.285272162365544
hours,74,-11.96334406747818
patient,10,-14.732731139336765
attendant,3,-16.19216275797406
composed,11,-14.607200257252906
afford,29,-13.285272162365544
ONE,9,-14.8702346630867
Who,24,-13.548306568199337
drain,2,-16.607200257252906
tree,7,-15.192162757974062
acre,2,-16.607200257252906
equality,3,-16.19216275797406
rendered,14,-14.285272162365544
inquire,10,-14.732731139336765
approached,7,-15.192162757974062
eagerness,19,-13.8702346630867
DO,6,-15.384807835916458
favourites,3,-16.19216275797406
warm,49,-12.548306568199337
personal,23,-13.607200257252906
blushed,11,-14.607200257252906
progress,13,-14.384807835916458
ourselves,19,-13.8702346630867
bit,6,-15.384807835916458
lip,4,-15.8702346630867
ridden,2,-16.607200257252906
sweetest,4,-15.8702346630867
creatures,11,-14.607200257252906
faultless,3,-16.19216275797406
bore,11,-14.607200257252906
circumstances,70,-12.04241563846938
reconcile,5,-15.607200257252906
times,47,-12.607200257252906
Of,20,-13.799845335195302
reverse,10,-14.732731139336765
eating,8,-15.02223775653175
content,2,-16.607200257252906
companion,43,-12.732731139336765
intelligent,7,-15.192162757974062
gentle,26,-13.437275255810594
concerns,19,-13.8702346630867
peculiarly,12,-14.49172303983297
scheme,33,-13.104699916723723
fault,24,-13.548306568199337
Here,39,-12.8702346630867
pianoforte,22,-13.66860080191705
alternately,2,-16.607200257252906
singing,8,-15.02223775653175
crying,3,-16.19216275797406
totally,24,-13.548306568199337
nieces,3,-16.19216275797406
procuring,8,-15.02223775653175
Middleton,79,-11.8702346630867
guests,9,-14.8702346630867
personally,5,-15.607200257252906
nearer,16,-14.104699916723723
endeavouring,11,-14.607200257252906
please,41,-12.799845335195302
seldom,15,-14.192162757974062
receiving,31,-13.192162757974062
preparations,6,-15.384807835916458
carelessly,3,-16.19216275797406
honours,7,-15.192162757974062
indignant,6,-15.384807835916458
Crofts,20,-13.799845335195302
level,5,-15.607200257252906
desire,26,-13.437275255810594
insult,3,-16.19216275797406
W,7,-15.192162757974062
rained,6,-15.384807835916458
triumphantly,3,-16.19216275797406
silenced,5,-15.607200257252906
consequences,4,-15.8702346630867
tolerable,15,-14.192162757974062
words,76,-11.92537621727916
basket,10,-14.732731139336765
stuff,3,-16.19216275797406
fruit,7,-15.192162757974062
arrived,37,-12.944235244530477
game,10,-14.732731139336765
rose,13,-14.384807835916458
animated,12,-14.49172303983297
Dashwoods,29,-13.285272162365544
Steeles,24,-13.548306568199337
raised,20,-13.799845335195302
riches,3,-16.19216275797406
secretly,4,-15.8702346630867
congratulate,10,-14.732731139336765
village,15,-14.192162757974062
presently,24,-13.548306568199337
finish,10,-14.732731139336765
Annamaria,3,-16.19216275797406
filigree,3,-16.19216275797406
candlelight,3,-16.19216275797406
hesitated,6,-15.384807835916458
Exactly,7,-15.192162757974062
unheard,3,-16.19216275797406
inevitable,8,-15.02223775653175
close,28,-13.33418176284649
Towards,5,-15.607200257252906
heavy,17,-14.02223775653175
restless,9,-14.8702346630867
uncomfortable,14,-14.285272162365544
features,17,-14.02223775653175
countenance,46,-12.637573906296424
complexion,20,-13.799845335195302
gravely,8,-15.02223775653175
reasonable,30,-13.237966447587187
alas,3,-16.19216275797406
afternoon,9,-14.8702346630867
damp,7,-15.192162757974062
kinder,4,-15.8702346630867
resisted,5,-15.607200257252906
enjoyments,5,-15.607200257252906
relinquished,2,-16.607200257252906
recollect,28,-13.33418176284649
plainly,12,-14.49172303983297
Surely,3,-16.19216275797406
sorrow,12,-14.49172303983297
throw,11,-14.607200257252906
retain,4,-15.8702346630867
anxiety,43,-12.732731139336765
parent,9,-14.8702346630867
revived,6,-15.384807835916458
curricle,8,-15.02223775653175
jump,4,-15.8702346630867
compare,9,-14.8702346630867
mourning,9,-14.8702346630867
curiosity,55,-12.384807835916458
six,27,-13.384807835916458
collected,13,-14.384807835916458
owner,6,-15.384807835916458
amidst,5,-15.607200257252906
bows,2,-16.607200257252906
civilities,10,-14.732731139336765
exchanged,2,-16.607200257252906
promises,7,-15.192162757974062
secure,25,-13.49172303983297
division,5,-15.607200257252906
determined,90,-11.684368117775366
laughing,27,-13.384807835916458
affectedly,5,-15.607200257252906
presume,11,-14.607200257252906
determine,11,-14.607200257252906
concurrence,4,-15.8702346630867
lord,4,-15.8702346630867
master,15,-14.192162757974062
rumour,4,-15.8702346630867
wondering,11,-14.607200257252906
specimens,2,-16.607200257252906
inimitable,4,-15.8702346630867
figure,21,-13.732731139336765
pieces,3,-16.19216275797406
capable,26,-13.437275255810594
distrust,10,-14.732731139336765
violence,6,-15.384807835916458
affliction,16,-14.104699916723723
sunk,18,-13.944235244530477
calmer,7,-15.192162757974062
melancholy,33,-13.104699916723723
employments,6,-15.384807835916458
daily,17,-14.02223775653175
solitary,10,-14.732731139336765
meditations,4,-15.8702346630867
produced,38,-12.906760539111813
occasional,9,-14.8702346630867
effusions,2,-16.607200257252906
lively,26,-13.437275255810594
operation,4,-15.8702346630867
principle,16,-14.104699916723723
superiority,19,-13.8702346630867
face,69,-12.062879741029095
decided,44,-12.700309661644388
management,2,-16.607200257252906
nut,3,-16.19216275797406
solemnity,3,-16.19216275797406
possession,19,-13.8702346630867
sleep,12,-14.49172303983297
order,23,-13.607200257252906
depended,20,-13.799845335195302
applied,7,-15.192162757974062
December,4,-15.8702346630867
stirring,3,-16.19216275797406
afforded,13,-14.384807835916458
dignified,6,-15.384807835916458
seclusion,6,-15.384807835916458
amply,5,-15.607200257252906
repaid,2,-16.607200257252906
popularity,5,-15.607200257252906
related,11,-14.607200257252906
reasonably,11,-14.607200257252906
elegance,36,-12.982709392345113
dislike,22,-13.66860080191705
scanty,4,-15.8702346630867
aspect,4,-15.8702346630867
glory,2,-16.607200257252906
successfully,2,-16.607200257252906
caution,17,-14.02223775653175
wanting,42,-12.765898003271964
estimating,2,-16.607200257252906
minuter,2,-16.607200257252906
propensities,2,-16.607200257252906
inclinations,3,-16.19216275797406
tastes,2,-16.607200257252906
goodness,17,-14.02223775653175
sense,87,-11.732731139336765
ingratitude,4,-15.8702346630867
moments,38,-12.906760539111813
prevent,37,-12.944235244530477
extreme,15,-14.192162757974062
vicarage,4,-15.8702346630867
pew,2,-16.607200257252906
deaf,4,-15.8702346630867
luck,16,-14.104699916723723
war,7,-15.192162757974062
delicate,14,-14.285272162365544
difficult,13,-14.384807835916458
shape,6,-15.384807835916458
consistent,5,-15.607200257252906
spoiled,4,-15.8702346630867
Take,5,-15.607200257252906
consider,52,-12.464242303410863
commit,2,-16.607200257252906
approbation,28,-13.33418176284649
trembling,5,-15.607200257252906
reckoned,4,-15.8702346630867
series,7,-15.192162757974062
strange,30,-13.237966447587187
blunders,4,-15.8702346630867
blood,10,-14.732731139336765
alliance,10,-14.732731139336765
books,21,-13.732731139336765
contrast,7,-15.192162757974062
certain,56,-12.35927274380932
preparation,13,-14.384807835916458
resumed,8,-15.02223775653175
Churchills,12,-14.49172303983297
Richmond,11,-14.607200257252906
twenty,58,-12.309519708612221
induced,18,-13.944235244530477
endeavoured,12,-14.49172303983297
dissuade,6,-15.384807835916458
rank,19,-13.8702346630867
larger,9,-14.8702346630867
enforced,2,-16.607200257252906
assertion,10,-14.732731139336765
observing,20,-13.799845335195302
admitting,3,-16.19216275797406
representation,6,-15.384807835916458
guided,12,-14.49172303983297
judged,21,-13.732731139336765
wisest,7,-15.192162757974062
submit,12,-14.49172303983297
ungracious,6,-15.384807835916458
owed,12,-14.49172303983297
served,5,-15.607200257252906
issued,2,-16.607200257252906
decree,2,-16.607200257252906
attack,7,-15.192162757974062
dozen,5,-15.607200257252906
headed,4,-15.8702346630867
clamorous,2,-16.607200257252906
impertinent,8,-15.02223775653175
More,8,-15.02223775653175
purse,5,-15.607200257252906
shilling,3,-16.19216275797406
terror,8,-15.02223775653175
tempting,2,-16.607200257252906
surrounded,7,-15.192162757974062
recalled,4,-15.8702346630867
restore,5,-15.607200257252906
faith,9,-14.8702346630867
unbroken,2,-16.607200257252906
conjectured,4,-15.8702346630867
stranger,8,-15.02223775653175
themselves,91,-11.66860080191705
groom,3,-16.19216275797406
inns,2,-16.607200257252906
indebted,5,-15.607200257252906
event,42,-12.765898003271964
acquittal,2,-16.607200257252906
Always,3,-16.19216275797406
deceived,20,-13.799845335195302
regardless,2,-16.607200257252906
convenience,16,-14.104699916723723
regret,44,-12.700309661644388
coldness,14,-14.285272162365544
neglecting,2,-16.607200257252906
distinction,13,-14.384807835916458
pity,42,-12.765898003271964
unfeigned,2,-16.607200257252906
whisper,14,-14.285272162365544
sentences,6,-15.384807835916458
NOW,11,-14.607200257252906
purposely,6,-15.384807835916458
Many,6,-15.384807835916458
solemnly,4,-15.8702346630867
vast,10,-14.732731139336765
addition,20,-13.799845335195302
motion,8,-15.02223775653175
expressed,23,-13.607200257252906
unaffected,10,-14.732731139336765
denoted,3,-16.19216275797406
older,10,-14.732731139336765
strongly,14,-14.285272162365544
agreed,39,-12.8702346630867
topics,3,-16.19216275797406
spend,29,-13.285272162365544
liked,29,-13.285272162365544
formerly,12,-14.49172303983297
feasible,2,-16.607200257252906
thick,7,-15.192162757974062
concluded,15,-14.192162757974062
sink,12,-14.49172303983297
rousing,5,-15.607200257252906
dwell,7,-15.192162757974062
sickly,6,-15.384807835916458
remains,8,-15.02223775653175
lovely,16,-14.104699916723723
blooming,4,-15.8702346630867
doted,3,-16.19216275797406
called,89,-11.700309661644388
below,5,-15.607200257252906
Richardson,3,-16.19216275797406
coach,6,-15.384807835916458
Kensington,2,-16.607200257252906
Gardens,3,-16.19216275797406
interrupt,2,-16.607200257252906
stairs,23,-13.607200257252906
stockings,2,-16.607200257252906
Richardsons,2,-16.607200257252906
pointed,8,-15.02223775653175
requisite,6,-15.384807835916458
gentlemanlike,7,-15.192162757974062
lament,6,-15.384807835916458
hung,7,-15.192162757974062
defect,4,-15.8702346630867
increased,28,-13.33418176284649
pretend,16,-14.104699916723723
altered,17,-14.02223775653175
feature,6,-15.384807835916458
occupy,8,-15.02223775653175
faces,5,-15.607200257252906
appears,12,-14.49172303983297
motherly,3,-16.19216275797406
hearted,23,-13.607200257252906
carriages,16,-14.104699916723723
joyful,3,-16.19216275797406
bustle,10,-14.732731139336765
collecting,5,-15.607200257252906
preparing,13,-14.384807835916458
depart,2,-16.607200257252906
solicitude,28,-13.33418176284649
endured,8,-15.02223775653175
fixing,5,-15.607200257252906
curtains,3,-16.19216275797406
Alicia,2,-16.607200257252906
telling,30,-13.237966447587187
Though,23,-13.607200257252906
uncertain,14,-14.285272162365544
blame,14,-14.285272162365544
absent,15,-14.192162757974062
